tag,family,train_seed,ckpt_path,overlay_found,steps,K,split,eval_seed,total_reward_unweighted,total_energy_wh,agg_unsafe_rate,agg_qos_violation_rate,agg_dpdk_rate,agg_n_switches,mean_fleet_power_w,p95_fleet_power_w,max_fleet_power_w,pool_cap_w,pool_overrun_rate,pool_penalty_total
lambda_sw_16,lambda_sw,1,experiments/mappo_lambda_sw_16_seed1_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5635.537125227591,1969.5845996102914,0.004955401387512388,0.004955401387512388,0.9267591674925669,348,7.808065806185509,8.218944056396726,8.264575404798729,,,
lambda_sw_16,lambda_sw,42,experiments/mappo_lambda_sw_16_seed42_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5551.598462676809,1971.4110230812041,0.004757185332011893,0.004757185332011893,0.9263627353815659,224,7.8153063353070635,8.218860146135883,8.234630999886345,,,
lambda_sw_16,lambda_sw,77,experiments/mappo_lambda_sw_16_seed77_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5579.173370008117,1978.2681299857577,0.0045589692765113975,0.0045589692765113975,0.9349851337958375,274,7.842490108962382,8.218763897371213,8.227772008213854,,,
lambda_sw_2,lambda_sw,1,experiments/mappo_lambda_sw_2_seed1_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5591.993030431149,1971.9716476123742,0.0048562933597621405,0.0048562933597621405,0.9279484638255698,270,7.81752883097077,8.218860146135883,8.233298605159897,,,
lambda_sw_2,lambda_sw,42,experiments/mappo_lambda_sw_2_seed42_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5707.473496673294,1954.3372637730704,0.005946481665014866,0.005946481665014866,0.9084241823587711,350,7.747620470854601,8.219149438199828,8.273960720320094,,,
lambda_sw_2,lambda_sw,77,experiments/mappo_lambda_sw_2_seed77_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5841.430648420265,1971.9886300239432,0.005946481665014866,0.005946481665014866,0.9232903865213082,262,7.817596154703454,8.21938135907514,10.845106864701453,,,
lambda_sw_4,lambda_sw,1,experiments/mappo_lambda_sw_4_seed1_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5610.976499595026,1963.8409156155144,0.005252725470763132,0.005252725470763132,0.9190287413280476,272,7.785295998475786,8.21910185011336,8.261956367165368,,,
lambda_sw_4,lambda_sw,42,experiments/mappo_lambda_sw_4_seed42_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5630.662342759596,1965.218263151511,0.005252725470763132,0.005252725470763132,0.9226957383548068,322,7.7907562463885585,8.218860146135883,8.233298605159899,,,
lambda_sw_4,lambda_sw,77,experiments/mappo_lambda_sw_4_seed77_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5540.182193361689,1968.045051226589,0.0048562933597621405,0.0048562933597621405,0.9240832507433102,262,7.801962542028115,8.218944056396726,8.234630999886345,,,
lambda_sw_8,lambda_sw,1,experiments/mappo_lambda_sw_8_seed1_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5636.158446359679,1965.2372742623759,0.005252725470763132,0.005252725470763132,0.9222993062438057,314,7.790831612536686,8.218944056396726,8.26457540479873,,,
lambda_sw_8,lambda_sw,42,experiments/mappo_lambda_sw_8_seed42_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5570.13795558815,1967.3703165987406,0.004955401387512388,0.004955401387512388,0.9230921704658077,270,7.799287677299279,8.218831880662036,8.233270000709313,,,
lambda_sw_8,lambda_sw,77,experiments/mappo_lambda_sw_8_seed77_20260526T191233/mappo_best.pt,True,1009,10,test,42,-5596.3978191469605,1973.3133106776772,0.0048562933597621405,0.0048562933597621405,0.9295341922695738,268,7.822847614183074,8.218860146135883,8.233298605159899,,,
