tag,family,train_seed,ckpt_path,overlay_found,steps,K,split,eval_seed,total_reward_unweighted,total_energy_wh,agg_unsafe_rate,agg_qos_violation_rate,agg_dpdk_rate,agg_n_switches,mean_fleet_power_w,p95_fleet_power_w,max_fleet_power_w,pool_cap_w,pool_overrun_rate,pool_penalty_total
budget_1750wh_l0p1,budget,1,experiments/mappo_budget_1750wh_l0p1_seed1_20260531T123748/mappo_best.pt,True,1009,10,test,42,-16281.32900470036,1945.6326283981125,0.010109018830525273,0.010109018830525273,0.8712586719524281,308,7.713112501082712,8.223019266737024,8.514299462035767,,,
budget_1750wh_l0p1,budget,42,experiments/mappo_budget_1750wh_l0p1_seed42_20260531T123748/mappo_best.pt,True,1009,10,test,42,-16151.022434163444,1942.9756967746596,0.009415262636273538,0.009415262636273538,0.8751238850346879,690,7.702579570960003,8.22219617371669,8.335745016826081,,,
budget_1750wh_l0p1,budget,77,experiments/mappo_budget_1750wh_l0p1_seed77_20260531T123748/mappo_best.pt,True,1009,10,test,42,-16368.397666288722,1964.8146446029743,0.005450941526263627,0.005450941526263627,0.9185332011892964,299,7.789156172856202,8.21910185011336,8.261956367165368,,,
budget_1800wh_l0p1,budget,1,experiments/mappo_budget_1800wh_l0p1_seed1_20260531T123748/mappo_best.pt,True,1009,10,test,42,-14177.081196168834,1955.404778725002,0.009415262636273538,0.009415262636273538,0.8860257680872151,202,7.751852442913794,8.222007680878134,8.514299462035767,,,
budget_1800wh_l0p1,budget,42,experiments/mappo_budget_1800wh_l0p1_seed42_20260531T123748/mappo_best.pt,True,1009,10,test,42,-13860.233998186008,1954.3431985360714,0.008225966303270564,0.008225966303270564,0.8925668979187315,257,7.747643998160847,8.220684657643064,8.41258885563246,,,
budget_1800wh_l0p1,budget,77,experiments/mappo_budget_1800wh_l0p1_seed77_20260531T123748/mappo_best.pt,True,1009,10,test,42,-17031.461460445287,1980.0365014942165,0.013875123885034688,0.013875123885034688,0.8643211100099109,406,7.849500501463698,10.775909003189259,13.433883570424356,,,
budget_1900wh_l0p1,budget,1,experiments/mappo_budget_1900wh_l0p1_seed1_20260531T123748/mappo_best.pt,True,1009,10,test,42,-9259.397055970381,1973.2987880228445,0.005450941526263627,0.005450941526263627,0.9237859266600594,274,7.822790041715945,8.219021714182778,8.26082306965681,,,
budget_1900wh_l0p1,budget,42,experiments/mappo_budget_1900wh_l0p1_seed42_20260531T123748/mappo_best.pt,True,1009,10,test,42,-9454.111250689179,1957.3159093896088,0.009316154608523291,0.009316154608523291,0.8823587710604559,602,7.75942877855148,8.223397793957309,10.874484218260282,,,
budget_1900wh_l0p1,budget,77,experiments/mappo_budget_1900wh_l0p1_seed77_20260531T123748/mappo_best.pt,True,1009,10,test,42,-8865.812047264631,1961.8494065938633,0.006442021803766105,0.006442021803766105,0.9063429137760158,425,7.777401017220477,8.219233120284153,10.892292250242702,,,
budget_2000wh_l0p1,budget,1,experiments/mappo_budget_2000wh_l0p1_seed1_20260531T123748/mappo_best.pt,True,1009,10,test,42,-5975.929463946897,1959.3521367668377,0.00624380574826561,0.00624380574826561,0.9034687809712587,544,7.767501037727808,8.219149438199828,8.310299144283858,,,
budget_2000wh_l0p1,budget,42,experiments/mappo_budget_2000wh_l0p1_seed42_20260531T123748/mappo_best.pt,True,1009,10,test,42,-7398.441108299301,1948.2034676429857,0.013875123885034688,0.013875123885034688,0.8469772051536174,340,7.723304133371606,8.313565434016521,9.395202953305963,,,
budget_2000wh_l0p1,budget,77,experiments/mappo_budget_2000wh_l0p1_seed77_20260531T123748/mappo_best.pt,True,1009,10,test,42,-6857.526092015438,1940.0812653490707,0.011694747274529236,0.011694747274529236,0.8553022794846382,366,7.691105115358066,8.24077067894055,8.41258885563246,,,
budget_off,budget,1,experiments/mappo_budget_off_seed1_20260531T123748/mappo_best.pt,True,1009,10,test,42,-5610.976499595027,1963.8409156155144,0.005252725470763132,0.005252725470763132,0.9190287413280476,272,7.785295998475786,8.21910185011336,8.261956367165368,,,
budget_off,budget,42,experiments/mappo_budget_off_seed42_20260531T123748/mappo_best.pt,True,1009,10,test,42,-5630.662342759596,1965.218263151511,0.005252725470763132,0.005252725470763132,0.9226957383548068,322,7.7907562463885585,8.218860146135883,8.233298605159899,,,
budget_off,budget,77,experiments/mappo_budget_off_seed77_20260531T123748/mappo_best.pt,True,1009,10,test,42,-5540.18219336169,1968.045051226589,0.0048562933597621405,0.0048562933597621405,0.9240832507433102,262,7.801962542028115,8.218944056396726,8.234630999886345,,,
